"","tag_code","node","slot","event_type_name","n_dets","min_det","max_det","duration","travel_time"
"90","3DD.003D7FE89C",1,1,"Observation",28,"2022-04-26 21:40:12","2022-04-26 21:40:14",0.0333333333333333,NA
"91","3DD.003D7FE89C",2,2,"Observation",49,"2022-04-26 21:40:33","2022-04-26 21:40:35",0.0333333333333333,0.316666666666667
"92","3DD.003D7FE8A3",1,1,"Observation",1,"2022-04-23 20:42:10","2022-04-23 20:42:10",0,NA
"93","3DD.003D7FE8A3",2,2,"Observation",1,"2022-04-23 20:42:30","2022-04-23 20:42:30",0,0.333333333333333
"94","3DD.003D7FE8AC",1,1,"Observation",1,"2022-04-02 20:08:45","2022-04-02 20:08:45",0,NA
"95","3DD.003D7FE8AC",2,2,"Observation",1,"2022-04-02 20:09:07","2022-04-02 20:09:07",0,0.366666666666667
"96","3DD.003D7FE8B2",1,1,"Observation",1,"2022-04-08 03:43:51","2022-04-08 03:43:51",0,NA
"97","3DD.003D7FE8B2",2,2,"Observation",1,"2022-04-08 03:44:12","2022-04-08 03:44:12",0,0.35
"98","3DD.003D7FE8BB",1,1,"Observation",17,"2022-04-25 20:24:15","2022-04-25 20:24:16",0.0166666666666667,NA
"99","3DD.003D7FE8BB",2,2,"Observation",28,"2022-04-25 20:24:32","2022-04-25 20:24:33",0.0166666666666667,0.266666666666667
"100","3DD.003D7FE8C1",1,1,"Observation",1,"2022-04-05 21:05:40","2022-04-05 21:05:40",0,NA
"101","3DD.003D7FE8C1",2,2,"Observation",1,"2022-04-05 21:06:15","2022-04-05 21:06:15",0,0.583333333333333
"102","3DD.003D7FE8C8",1,1,"Observation",1,"2022-04-07 20:04:56","2022-04-07 20:04:56",0,NA
"103","3DD.003D7FE8C8",2,2,"Observation",1,"2022-04-07 20:05:17","2022-04-07 20:05:17",0,0.35
"104","3DD.003D7FE8D0",1,1,"Observation",1,"2022-04-08 03:24:33","2022-04-08 03:24:33",0,NA
"105","3DD.003D7FE8D0",2,2,"Observation",1,"2022-04-08 03:24:58","2022-04-08 03:24:58",0,0.416666666666667
"106","3DD.003D7FE8D9",1,1,"Observation",35,"2022-04-29 20:01:51","2022-04-29 20:01:53",0.0333333333333333,NA
"107","3DD.003D7FE8D9",2,2,"Observation",196,"2022-04-29 20:02:13","2022-04-30 04:09:08",486.916666666667,0.333333333333333
"108","3DD.003D7FE8D9",1,3,"Observation",113,"2022-04-30 04:32:13","2022-04-30 04:32:17",0.0666666666666667,23.0833333333333
"109","3DD.003D7FE8E0",1,1,"Observation",35,"2022-04-28 21:00:55","2022-04-28 21:00:57",0.0333333333333333,NA
"110","3DD.003D7FE8E0",2,2,"Observation",32,"2022-04-28 21:01:10","2022-04-28 21:01:11",0.0166666666666667,0.216666666666667
"111","3DD.003D7FE8E1",1,1,"Observation",1,"2022-04-10 20:05:55","2022-04-10 20:05:55",0,NA
"112","3DD.003D7FE8E1",2,2,"Observation",2,"2022-04-10 20:08:11","2022-04-17 20:29:10",10100.9833333333,2.26666666666667
"113","3DD.003D7FE8E1",1,3,"Observation",2,"2022-04-17 20:30:46","2022-04-17 20:32:27",1.68333333333333,1.6
"114","3DD.003D7FE8E1",2,4,"Observation",2,"2022-04-17 20:32:41","2022-04-17 21:05:11",32.5,0.233333333333333
"115","3DD.003D7FE8E1",1,5,"Observation",1,"2022-04-17 21:07:31","2022-04-17 21:07:31",0,2.33333333333333
"116","3DD.003D7FE8E4",1,1,"Observation",1,"2022-04-09 19:36:53","2022-04-09 19:36:53",0,NA
"117","3DD.003D7FE8E4",2,2,"Observation",1,"2022-04-09 19:37:21","2022-04-09 19:37:21",0,0.466666666666667
"118","3DD.003D7FE8E5",1,1,"Observation",17,"2022-04-26 20:24:08","2022-04-26 20:24:09",0.0166666666666667,NA
"119","3DD.003D7FE8E5",2,2,"Observation",23,"2022-04-26 20:24:28","2022-04-26 20:24:29",0.0166666666666667,0.316666666666667
"120","3DD.003D7FE8E9",1,1,"Observation",28,"2022-04-28 20:12:02","2022-04-28 20:12:03",0.0166666666666667,NA
"121","3DD.003D7FE8E9",2,2,"Observation",22,"2022-04-28 20:12:20","2022-04-28 20:12:21",0.0166666666666667,0.283333333333333
"122","3DD.003D7FE8EE",1,1,"Observation",306,"2022-04-29 20:34:07","2022-04-29 20:34:39",0.533333333333333,NA
"123","3DD.003D7FE8EE",2,2,"Observation",17,"2022-04-29 20:34:56","2022-04-29 20:34:56",0,0.283333333333333
"124","3DD.003D7FE91C",2,1,"Observation",11,"2022-01-19 23:55:47","2022-02-15 18:02:11",38526.4,NA
"125","3DD.003D7FE91C",1,2,"Observation",5,"2022-02-15 18:47:46","2022-02-15 20:26:39",98.8833333333333,45.5833333333333
"126","3DD.003D7FE91C",2,3,"Observation",40,"2022-02-16 03:02:14","2022-03-22 23:34:25",50132.1833333333,395.583333333333
"127","3DD.003D7FE962",5,1,"Observation",17,"2022-01-01 09:22:30","2022-01-30 07:46:03",41663.55,NA
"128","3DD.003D7FED8D",1,1,"Observation",2,"2022-02-13 23:54:52","2022-02-14 21:02:01",1267.15,NA
"129","3DD.003D7FEE3A",9,1,"Observation",1,"2022-01-13 08:50:31","2022-01-13 08:50:31",0,NA
"130","3DD.003D7FEE3A",10,2,"Observation",2,"2022-01-13 08:50:51","2022-01-13 08:57:03",6.2,0.333333333333333
"131","3DD.003D7FEE40",1,1,"Observation",2,"2022-03-08 20:49:24","2022-03-08 20:57:02",7.63333333333333,NA
"132","3DD.003D7FEEF1",18,1,"Observation",3,"2022-03-20 06:02:51","2022-03-20 06:16:04",13.2166666666667,NA
"133","3DD.003D7FEEF1",17,2,"Observation",1,"2022-03-20 07:22:02","2022-03-20 07:22:02",0,65.9666666666667
"134","3DD.003D7FEEF1",16,3,"Observation",1,"2022-03-20 07:25:32","2022-03-20 07:25:32",0,3.5
"135","3DD.003D7FF0F3",2,1,"Observation",1,"2022-04-23 20:24:39","2022-04-23 20:24:39",0,NA
"136","3DD.003D7FF0F3",1,2,"Observation",1,"2022-04-23 20:28:38","2022-04-23 20:28:38",0,3.98333333333333
"137","3DD.003D7FF535",9,1,"Observation",1,"2022-03-19 06:21:43","2022-03-19 06:21:43",0,NA
"138","3DD.003D7FF535",18,2,"Observation",1,"2022-03-20 12:32:01","2022-03-20 12:32:01",0,1810.3
"139","3DD.003D7FF535",17,3,"Observation",1,"2022-03-20 20:49:01","2022-03-20 20:49:01",0,497
